Country,CIT_rate_2019,CIT_rate_2020_OLD,CIT_rate_2020,inflation,tax_depreciation_building,tax_depreciation_equipment,inventory_accounting,inv_acc_flag,asset_tax,capital_input_sale_tax,capital_transfer_tax,land_transfer_tax,financial_transfer_tax_flag,dividend_payout_ratio,dividend_distribution_tax,domestic_tax_rate_dividend,international_interest_rate,debt_asset_ratio,domestic_pit_interest,domestic_pit_capital_gain,economic_depreciation_equipment,economic_depreciation_building,investment_allowance_equipment,investment_allowance_building,property_tax,mining_royalty,capital_weight_equipment,capital_weight_building,capital_weight_equipment_old,capital_weight_building_old,capital_weight_land,capital_weight_inventory,t_rho,r_d,rho_n,r_f,r_n,Z_E,r_g_E,METR_E,Z_B,r_g_B,METR_B,r_g_L,METR_L,p_FIFO,r_g_I,METR_I,METR_Overall
Argentina,0.25,0.35,0.35,0.32,0.04,0.12,LIFO,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.33,0.33,0.2838,0.010000000000000009,0.37010706979524066,0.02274828760670078,0.5604064722192809,0.12353304508956146,-0.010809426521594542,-1.925118458414283,-0.05569230769230771,-1.179558011049724,0.0,-0.05569230769230771,-1.179558011049724,-0.33438250280880216
Australia,0.3,0.3,0.3,0.02,0.03,0.24,Optional,0,0.0,0.0,0.06,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.0264,0.009999999999999998,0.9353331852453182,0.012397385162677077,0.19337829156865446,0.5319148936170213,0.025738601823708226,0.611478507321682,0.009142857142857142,-0.09374999999999996,0.5,0.013428571428571427,0.25531914893617025,0.34389436923974437
Austria   ,0.21,0.25,0.25,0.02,0.03,0.11,Optional,0,0.0,0.0,0.05,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.027,0.009999999999999998,0.876334658447475,0.01594512637229928,0.37284912226393324,0.5263157894736842,0.02231578947368422,0.5518867924528305,0.009333333333333332,-0.07142857142857137,0.5,0.012666666666666666,0.21052631578947378,0.43730268353193624
Bangladesh,0.25,0.325,0.25,0.06,0.12,0.37,Optional,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.06999999999999999,0.06999999999999999,0.063,0.009999999999999995,0.8939296288936615,0.010530996348550037,0.0504222327095529,0.6557377049180327,0.013672131147540983,0.2685851318944848,0.0040000000000000036,-1.4999999999999964,0.5,0.014000000000000004,0.28571428571428625,0.12896087641612838
Belgium,0.26,0.29,0.29,0.01,0.07,0.33,LIFO,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01768,0.01,0.9654008504926532,0.010756263987014347,0.07030916942233452,0.7983576642335767,0.01572501799115865,0.36407067987950953,0.010816901408450706,0.07552083333333345,0.0,0.010816901408450706,0.07552083333333345,0.17606331318691754
Bolivia,0.25,0.25,0.25,0.04,0.03,0.17,FIFO,1,0.0,0.0,0.03,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.05,0.05,0.045,0.010000000000000002,0.8617769678856657,0.014905983968193953,0.3291284881737581,0.4,0.024000000000000007,0.5833333333333334,0.006666666666666664,-0.500000000000001,0.5,0.01333333333333333,0.2499999999999997,0.4206422324312052
Botswana,0.21,0.22,0.22,0.04,0.03,0.25,Optional,0,0.0,0.0,0.17,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.05,0.05,0.0456,0.010000000000000002,0.8956237810581239,0.01194714463698851,0.16297991663716233,0.3968253968253968,0.02186406186406184,0.5426284437825757,0.00717948717948718,-0.39285714285714296,0.5,0.012820512820512822,0.21999999999999992,0.2996533864095111
Brazil,0.34,0.34,0.34,0.06,0.04,0.12,Optional,0,0.0,0.13,0.04,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.06999999999999999,0.06999999999999999,0.06047999999999999,0.009999999999999995,0.7678043824660352,0.05629213848617956,0.8223553009545885,0.39808917197452237,0.04394524030110017,0.7724440705868744,0.0007272727272727188,-12.750000000000155,0.5,0.016181818181818176,0.38202247191011246,0.8043872580222113
Bulgaria,0.1,0.1,0.1,0.01,0.04,0.3,Optional,0,0.0,0.0,0.02,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.019200000000000002,0.01,0.959777964247888,0.010179630026318137,0.01764602700232979,0.6756756756756757,0.01277477477477476,0.21720733427362396,0.010222222222222225,0.021739130434782813,0.5,0.01077777777777778,0.07216494845360844,0.08948809761999568
Canada,0.26,0.29,0.265,0.02,0.04,0.55,FIFO,1,0.0,0.01,0.02,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.026819999999999997,0.009999999999999998,0.9634577756523578,0.011873388738067842,0.15778046010247113,0.598623166716552,0.021939530997074075,0.5442017424468358,0.009278911564625845,-0.07771260997067493,0.5,0.012884353741496593,0.22386483632523735,0.2968921217464424
Chad,0.35,0.4,0.35,0.06,0.05,0.16,Optional,0,0.0,0.0,0.1,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.06999999999999999,0.06999999999999999,0.06019999999999999,0.009999999999999995,0.81343012083609,0.021316840015521338,0.5308873175987276,0.4537205081669692,0.026732374703336573,0.6259217480311671,0.0003076923076922951,-31.50000000000131,0.5,0.016461538461538448,0.3925233644859811,0.5650997125544058
Chile,0.27,0.17,0.27,0.03,0.08,0.4,LIFO,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.04,0.04,0.03568,0.010000000000000002,0.9407451201457766,0.010406883522573795,0.039097537864358115,0.6915629322268326,0.016595123060308095,0.39741332657437084,0.0077808219178082255,-0.285211267605633,0.0,0.0077808219178082255,-0.285211267605633,0.1680912217999627
China,0.25,0.25,0.25,0.02,0.07,0.15,Optional,0,0.0,0.01,0.04,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.027,0.009999999999999998,0.9040750597690392,0.016177956383473246,0.38187495608434213,0.7216494845360826,0.017060000000000006,0.4138335287221574,0.009333333333333332,-0.07142857142857137,0.5,0.012666666666666666,0.21052631578947378,0.3933800422339556
Colombia,0.3,0.3605,0.32,0.05,0.05,0.19,LIFO,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.060000000000000005,0.060000000000000005,0.052320000000000005,0.010000000000000009,0.8548661915613093,0.016821087156566078,0.4055081037912268,0.48866301798279904,0.02453488479050732,0.5924170793795998,0.003411764705882357,-1.9310344827586197,0.0,0.003411764705882357,-1.9310344827586197,0.47279533500304105
Costa Rica,0.3,0.3,0.3,0.02,0.02,0.14,LIFO,0,0.0,0.0,0.02,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.0264,0.009999999999999998,0.9006156845910073,0.015617185366216896,0.3596797524327268,0.4310344827586207,0.0299064039408867,0.6656234557733488,0.009142857142857142,-0.09374999999999996,0.0,0.009142857142857142,-0.09374999999999996,0.4698194856353507
Croatia,0.28,0.22,0.18,0.0,0.05,0.3,Optional,0,0.0,0.0,0.04,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.01,0.01,0.00928,0.01,0.9802202401419648,0.010232091504269014,0.02268270413455364,0.843454790823212,0.012691616470820552,0.21207830200423086,0.011317073170731707,0.11637931034482754,0.5,0.011317073170731707,0.11637931034482754,0.09086511936763743
Czech Republic ,0.19,0.19,0.19,0.01,0.03,0.21,Optional,0,0.0,0.0,0.04,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01848,0.01,0.9489005995044958,0.011098762264011047,0.09899863046656149,0.6188118811881188,0.017285539665077607,0.42148175910276947,0.010469135802469135,0.04481132075471693,0.5,0.011641975308641974,0.14103923647932118,0.21509255677559636
Denmark,0.22,0.25,0.22,0.01,0.05,0.23,FIFO,1,0.0,0.0,0.01,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01824,0.01,0.953048974828778,0.01113006433505237,0.10153259685062299,0.7327080890973037,0.015646316169176666,0.360871920784775,0.010564102564102562,0.05339805825242699,0.5,0.011974358974358973,0.16488222698072794,0.1948947534669177
Dominican Republic,0.27,0.25,0.27,0.03,0.07,0.18,LIFO,0,0.0,0.0,0.03,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.04,0.04,0.03568,0.010000000000000002,0.8928076256592528,0.01423095595946483,0.2973065176728955,0.6623769871309614,0.017627969678429597,0.43271969589121395,0.0077808219178082255,-0.285211267605633,0.0,0.0077808219178082255,-0.285211267605633,0.34605526183149016
Ecuador,0.15,0.15,0.25,0.02,0.05,0.15,LIFO,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.027,0.009999999999999998,0.9040750597690392,0.013938570676706175,0.282566323912123,0.6493506493506493,0.018337662337662347,0.45467422096317317,0.009333333333333332,-0.07142857142857137,0.0,0.009333333333333332,-0.07142857142857137,0.34452516685050105
Egypt,0.23,0.2,0.225,0.17,0.05,0.27,Optional,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.18000000000000002,0.18000000000000002,0.16380000000000003,0.010000000000000009,0.7085072284184873,0.011046969084993918,0.09477432922448392,0.23386342376052383,0.012439361477413341,0.19610021638510794,-0.007999999999999978,-2.250000000000005,0.5,0.016677419354838734,0.40038684719535816,0.13125164860230856
Estonia,0.2,0.21,0.2,0.01,0.1,0.22,LIFO,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.0184,0.01,0.9509610488147697,0.011077526734713572,0.09727141811690992,0.8445945945945946,0.012222972972972965,0.1818684355997783,0.010499999999999999,0.0476190476190475,0.0,0.010499999999999999,0.0476190476190475,0.12772634441074254
Ethiopia,0.3,0.3,0.3,0.1,0.05,0.21,Optional,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.11,0.11,0.0968,0.010000000000000009,0.7722140740686751,0.016988341206827684,0.41136101057465413,0.34059945504087197,0.021329700272479546,0.5311701584057222,-0.004571428571428584,-3.187499999999996,0.5,0.016857142857142845,0.4067796610169482,0.45449230379383865
Fiji,0.2,0.28,0.2,0.03,0.05,0.18,FIFO,1,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.04,0.04,0.0368,0.010000000000000002,0.8897353866170593,0.012776342045355382,0.21730335924785854,0.5760368663594471,0.01705990783410137,0.4138303619665041,0.0085,-0.17647058823529427,0.5,0.012249999999999999,0.18367346938775486,0.28805308022657095
Finland,0.2,0.26,0.2,0.01,0.08,0.29,FIFO,1,0.0,0.0,0.04,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.0184,0.01,0.9604039069393715,0.010561946681110296,0.053204839796750655,0.8130081300813008,0.012999999999999998,0.23076923076923062,0.010499999999999999,0.0476190476190475,0.5,0.011749999999999998,0.1489361702127658,0.11712802054684343
France,0.26,0.34,0.28,0.01,0.03,0.27,Optional,0,0.0,0.0,0.05,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.017759999999999998,0.01,0.9596006173880227,0.01118119927239386,0.105641554507504,0.628140703517588,0.02189726409826913,0.5433219440053038,0.010777777777777775,0.07216494845360799,0.5,0.01272222222222222,0.2139737991266374,0.26320649472671187
Georgia,0.15,0.15,0.15,0.04,0.07,0.22,Optional,0,0.01,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.05,0.05,0.047,0.010000000000000002,0.8819490835395577,0.011520655683279313,0.13199384870831082,0.5982905982905983,0.013876319758672706,0.2793478260869567,0.008235294117647058,-0.2142857142857147,0.5,0.01176470588235294,0.1499999999999997,0.18504128056462332
Germany,0.3,0.3,0.3,0.01,0.03,0.14,LIFO,0,0.0,0.0,0.05,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.0176,0.01,0.9320213735525862,0.013939492477838822,0.2826137669001849,0.6302521008403361,0.023066026410564225,0.566461954824607,0.010857142857142859,0.07894736842105274,0.0,0.010857142857142859,0.07894736842105274,0.3847991145529769
Ghana,0.25,0.25,0.25,0.15,0.1,0.3,Optional,0,0.0,0.0,0.01,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.16,0.16,0.14400000000000002,0.010000000000000009,0.752862532450779,0.010805347793347048,0.07453233424313273,0.4098360655737705,0.01052459016393445,0.049844236760125886,-0.00799999999999997,-2.2500000000000058,0.5,0.01700000000000003,0.4117647058823534,0.06564461914925027
Greece,0.24,0.24,0.24,0.0,0.05,0.39,LIFO,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.01,0.01,0.00904,0.01,0.9841090629346626,0.010139184480460445,0.013727384162766889,0.8468834688346883,0.01382884039366708,0.27687356890896636,0.011894736842105262,0.15929203539822998,0.0,0.011894736842105262,0.15929203539822998,0.1084600106713987
Guyana,0.39,0.39,0.4,0.01,0.03,0.35,Optional,0,0.01,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.0168,0.01,0.9684600892473556,0.011358568434115562,0.1196073644311628,0.6410256410256411,0.02996581196581198,0.6662863662293212,0.011333333333333332,0.11764705882352933,0.5,0.014666666666666665,0.31818181818181807,0.3164118050784998
Hong Kong,0.17,0.17,0.165,0.03,0.04,0.93,Optional,0,0.0,0.0,0.05,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.04,0.04,0.037360000000000004,0.010000000000000002,0.9626641694574161,0.008963625342408937,-0.11562003296676646,0.5170630816959668,0.016651127940602764,0.3994400838386684,0.008814371257485036,-0.13451086956521677,0.5,0.011778443113772461,0.15099135739705163,0.0698016090831901
Hungary,0.09,0.19,0.09,0.01,0.03,0.48,Optional,0,0.0,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01928,0.01,0.9710379998525527,0.0099080998519889,-0.009275254527501862,0.6087662337662337,0.013121485657199936,0.23789117625465941,0.010197802197802195,0.019396551724137675,0.5,0.01069230769230769,0.06474820143884871,0.07970466055407618
Iceland,0.2,0.18,0.2,0.02,0.03,0.31,FIFO,1,0.0,0.0,0.02,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.0276,0.009999999999999998,0.9443717474829466,0.01062617693692769,0.05892777248528813,0.5208333333333334,0.01929166666666665,0.48164146868250507,0.009499999999999998,-0.05263157894736848,0.5,0.011999999999999999,0.16666666666666669,0.21110470311628624
India,0.24,0.33,0.3,0.05,0.05,0.35,Optional,0,0.0,0.0,0.06,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.060000000000000005,0.060000000000000005,0.05280000000000001,0.010000000000000009,0.9062488800559573,0.011350102138896728,0.11895065985969658,0.48638132295719844,0.023227348526959443,0.5694730292442445,0.004000000000000006,-1.4999999999999984,0.5,0.01471428571428572,0.32038834951456274,0.2811387128381338
Indonesia,0.25,0.25,0.25,0.05,0.05,0.14,Optional,0,0.0,0.0,0.05,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.060000000000000005,0.060000000000000005,0.054000000000000006,0.010000000000000009,0.8119077772230482,0.017417245224755906,0.42585639284755755,0.4807692307692307,0.020269230769230775,0.5066413662239087,0.005333333333333338,-0.8749999999999999,0.5,0.013666666666666672,0.26829268292682895,0.45493898326304394
Iran,0.25,0.25,0.25,0.17,0.05,0.1,Optional,0,0.0,0.0,0.1,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.18000000000000002,0.18000000000000002,0.16200000000000003,0.010000000000000009,0.47974563388353964,0.02703046065184167,0.6300470003525938,0.23584905660377356,0.012886792452830212,0.2240117130307474,-0.010666666666666639,-1.937500000000003,0.5,0.017666666666666695,0.4339622641509438,0.4838742969167291
Ireland,0.13,0.13,0.125,0.0,0.02,0.12,FIFO,1,0.0,0.0,0.06,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.01,0.01,0.0095,0.01,0.9570792003099804,0.01084587364742276,0.07799036526889282,0.6779661016949153,0.014077481840193709,0.2896456828345375,0.010857142857142857,0.07894736842105259,0.5,0.010857142857142857,0.07894736842105259,0.1541862795925249
Israel,0.23,0.25,0.23,0.0,0.04,0.3,Optional,0,0.0,0.0,0.1,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.01,0.01,0.009080000000000001,0.01,0.9806397324124314,0.010346925853648603,0.03352936500712118,0.814995925020375,0.014555255665280098,0.31296294411001935,0.011792207792207793,0.1519823788546256,0.5,0.011792207792207793,0.1519823788546256,0.13412545348416452
Italy,0.28,0.31,0.24,0.01,0.02,0.15,LIFO,0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.01808,0.01,0.934161022229071,0.012614157138616078,0.2072399376263741,0.5252100840336135,0.022785493144626273,0.5611242672463993,0.010631578947368419,0.0594059405940592,0.0,0.010631578947368419,0.0594059405940592,0.3346382962895832
Jamaica,0.28,0.33,0.25,0.05,0.04,0.13,Optional,0,0.01,0.0,0.09,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.060000000000000005,0.060000000000000005,0.054000000000000006,0.010000000000000009,0.8010115121284057,0.018194512134840413,0.45038372417520606,0.425531914893617,0.021999999999999992,0.5454545454545449,0.005333333333333338,-0.8749999999999999,0.5,0.013666666666666672,0.26829268292682895,0.484609219835768
Japan,0.31,0.4,0.3062,0.01,0.02,0.21,Optional,0,0.01,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.0175504,0.01,0.9513721819378373,0.012219310621277901,0.18162322655202331,0.5326174954194896,0.027672458019822918,0.6386298610395725,0.010882675122513693,0.08110828565374023,0.5,0.013089362928797924,0.23602087783821873,0.34614561496754104
Jordan,0.19,0.15,0.2,0.02,0.04,0.24,Optional,0,0.0,0.0,0.09,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.03,0.03,0.0276,0.009999999999999998,0.9325537089074325,0.011269078235435631,0.11261597523078813,0.591715976331361,0.017562130177514776,0.43059299191374617,0.009499999999999998,-0.05263157894736848,0.5,0.011999999999999999,0.16666666666666669,0.227087701236653
Kazakhstan,0.2,0.2,0.2,0.08,0.1,0.26,Optional,0,0.02,0.0,0.0,0.0,0,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.09,0.09,0.0828,0.009999999999999995,0.8276850267519079,0.011967156576798477,0.16437961383511426,0.5470459518599562,0.01330853391684901,0.2486024334100626,0.003499999999999996,-1.8571428571428588,0.5,0.013499999999999996,0.2592592592592594,0.19469982888209567
Kenya,0.3,0.3,0.3,0.07,0.03,0.29,Optional,0,0.0,0.0,0.05,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.08,0.08,0.0704,0.009999999999999995,0.8613845432004412,0.012899153761697368,0.22475534560306543,0.298804780876494,0.027566306203756413,0.6372383036709752,0.000571428571428568,-16.500000000000096,0.5,0.01557142857142857,0.3577981651376149,0.3732492105075129
Korea S.,0.28,0.24,0.25,0.01,0.03,0.2,LIFO,0,0.0,0.0,0.04,0.0,1,0.5,0,0.0,0.01,0.4,0.0,0.0,0.21,0.09,0,0,0.0,0,0.64,0.36,0.52,0.29,0.01,0.18,0.0,0.02,0.02,0.018000000000000002,0.01,0.9481889202190793,0.011764938464080277,0.15001680369760018,0.625,0.020250000000000004,0.506172839506173,0.01066666666666667,0.06250000000000025,0.0,0.01066666666666667,0.06250000000000025,0.2782329765886864
